Fecha de notificación;Nombre departamento;ID de caso
2/06/2021 0:00;AMAZONAS;2
3/06/2021 0:00;AMAZONAS;3
4/06/2021 0:00;AMAZONAS;1
5/06/2021 0:00;AMAZONAS;2
6/06/2021 0:00;AMAZONAS;2
7/06/2021 0:00;AMAZONAS;1
8/06/2021 0:00;AMAZONAS;1
10/06/2021 0:00;AMAZONAS;1
11/06/2021 0:00;AMAZONAS;2
13/06/2021 0:00;AMAZONAS;2
14/06/2021 0:00;AMAZONAS;6
15/06/2021 0:00;AMAZONAS;1
16/06/2021 0:00;AMAZONAS;1
17/06/2021 0:00;AMAZONAS;2
18/06/2021 0:00;AMAZONAS;4
19/06/2021 0:00;AMAZONAS;3
20/06/2021 0:00;AMAZONAS;1
21/06/2021 0:00;AMAZONAS;4
22/06/2021 0:00;AMAZONAS;2
23/06/2021 0:00;AMAZONAS;3
24/06/2021 0:00;AMAZONAS;3
25/06/2021 0:00;AMAZONAS;2
26/06/2021 0:00;AMAZONAS;6
27/06/2021 0:00;AMAZONAS;1
28/06/2021 0:00;AMAZONAS;6
30/06/2021 0:00;AMAZONAS;2
1/07/2021 0:00;AMAZONAS;7
2/07/2021 0:00;AMAZONAS;10
3/07/2021 0:00;AMAZONAS;13
4/07/2021 0:00;AMAZONAS;3
5/07/2021 0:00;AMAZONAS;6
6/07/2021 0:00;AMAZONAS;4
7/07/2021 0:00;AMAZONAS;11
8/07/2021 0:00;AMAZONAS;7
9/07/2021 0:00;AMAZONAS;7
10/07/2021 0:00;AMAZONAS;9
11/07/2021 0:00;AMAZONAS;4
13/07/2021 0:00;AMAZONAS;3
14/07/2021 0:00;AMAZONAS;5
15/07/2021 0:00;AMAZONAS;10
16/07/2021 0:00;AMAZONAS;2
17/07/2021 0:00;AMAZONAS;1
18/07/2021 0:00;AMAZONAS;1
7/03/2020 0:00;ANTIOQUIA;1
9/03/2020 0:00;ANTIOQUIA;2
10/03/2020 0:00;ANTIOQUIA;1
11/03/2020 0:00;ANTIOQUIA;3
12/03/2020 0:00;ANTIOQUIA;2
14/03/2020 0:00;ANTIOQUIA;1
15/03/2020 0:00;ANTIOQUIA;1
16/03/2020 0:00;ANTIOQUIA;4
17/03/2020 0:00;ANTIOQUIA;9
18/03/2020 0:00;ANTIOQUIA;7
19/03/2020 0:00;ANTIOQUIA;18
20/03/2020 0:00;ANTIOQUIA;11
21/03/2020 0:00;ANTIOQUIA;3
22/03/2020 0:00;ANTIOQUIA;4
23/03/2020 0:00;ANTIOQUIA;4
24/03/2020 0:00;ANTIOQUIA;14
25/03/2020 0:00;ANTIOQUIA;12
26/03/2020 0:00;ANTIOQUIA;11
27/03/2020 0:00;ANTIOQUIA;16
28/03/2020 0:00;ANTIOQUIA;26
29/03/2020 0:00;ANTIOQUIA;7
30/03/2020 0:00;ANTIOQUIA;14
31/03/2020 0:00;ANTIOQUIA;11
1/04/2020 0:00;ANTIOQUIA;9
2/04/2020 0:00;ANTIOQUIA;12
3/04/2020 0:00;ANTIOQUIA;23
4/04/2020 0:00;ANTIOQUIA;11
5/04/2020 0:00;ANTIOQUIA;9
6/04/2020 0:00;ANTIOQUIA;4
7/04/2020 0:00;ANTIOQUIA;9
8/04/2020 0:00;ANTIOQUIA;10
9/04/2020 0:00;ANTIOQUIA;7
10/04/2020 0:00;ANTIOQUIA;6
11/04/2020 0:00;ANTIOQUIA;17
12/04/2020 0:00;ANTIOQUIA;4
13/04/2020 0:00;ANTIOQUIA;8
14/04/2020 0:00;ANTIOQUIA;26
15/04/2020 0:00;ANTIOQUIA;14
16/04/2020 0:00;ANTIOQUIA;13
17/04/2020 0:00;ANTIOQUIA;5
18/04/2020 0:00;ANTIOQUIA;7
19/04/2020 0:00;ANTIOQUIA;11
20/04/2020 0:00;ANTIOQUIA;21
21/04/2020 0:00;ANTIOQUIA;6
22/04/2020 0:00;ANTIOQUIA;8
23/04/2020 0:00;ANTIOQUIA;6
24/04/2020 0:00;ANTIOQUIA;9
25/04/2020 0:00;ANTIOQUIA;2
26/04/2020 0:00;ANTIOQUIA;2
27/04/2020 0:00;ANTIOQUIA;11
28/04/2020 0:00;ANTIOQUIA;4
29/04/2020 0:00;ANTIOQUIA;3
30/04/2020 0:00;ANTIOQUIA;4
1/05/2020 0:00;ANTIOQUIA;5
2/05/2020 0:00;ANTIOQUIA;4
3/05/2020 0:00;ANTIOQUIA;6
4/05/2020 0:00;ANTIOQUIA;6
5/05/2020 0:00;ANTIOQUIA;4
6/05/2020 0:00;ANTIOQUIA;7
7/05/2020 0:00;ANTIOQUIA;6
8/05/2020 0:00;ANTIOQUIA;5
9/05/2020 0:00;ANTIOQUIA;7
10/05/2020 0:00;ANTIOQUIA;7
11/05/2020 0:00;ANTIOQUIA;14
12/05/2020 0:00;ANTIOQUIA;13
13/05/2020 0:00;ANTIOQUIA;10
14/05/2020 0:00;ANTIOQUIA;9
15/05/2020 0:00;ANTIOQUIA;15
16/05/2020 0:00;ANTIOQUIA;16
17/05/2020 0:00;ANTIOQUIA;16
18/05/2020 0:00;ANTIOQUIA;16
19/05/2020 0:00;ANTIOQUIA;24
20/05/2020 0:00;ANTIOQUIA;17
21/05/2020 0:00;ANTIOQUIA;67
22/05/2020 0:00;ANTIOQUIA;54
23/05/2020 0:00;ANTIOQUIA;105
24/05/2020 0:00;ANTIOQUIA;19
25/05/2020 0:00;ANTIOQUIA;128
26/05/2020 0:00;ANTIOQUIA;44
27/05/2020 0:00;ANTIOQUIA;42
28/05/2020 0:00;ANTIOQUIA;55
29/05/2020 0:00;ANTIOQUIA;52
30/05/2020 0:00;ANTIOQUIA;20
31/05/2020 0:00;ANTIOQUIA;62
1/06/2020 0:00;ANTIOQUIA;60
2/06/2020 0:00;ANTIOQUIA;64
3/06/2020 0:00;ANTIOQUIA;152
4/06/2020 0:00;ANTIOQUIA;55
5/06/2020 0:00;ANTIOQUIA;111
6/06/2020 0:00;ANTIOQUIA;60
7/06/2020 0:00;ANTIOQUIA;91
8/06/2020 0:00;ANTIOQUIA;120
9/06/2020 0:00;ANTIOQUIA;82
10/06/2020 0:00;ANTIOQUIA;169
11/06/2020 0:00;ANTIOQUIA;185
12/06/2020 0:00;ANTIOQUIA;98
13/06/2020 0:00;ANTIOQUIA;63
14/06/2020 0:00;ANTIOQUIA;76
